,name,artists,genre,spotifyID
65,MakeDamnSure,['Taking Back Sunday'],alternative,48O6kz322Dzu1R6Al5147q
66,Wake Me up When September Ends,['Green Day'],alternative,3ZffCQKLFLUvYM59XKLbVm
67,Do I Wanna Know?,['Arctic Monkeys'],alternative,3jfr0TF6DQcOLat8gGn7E2
68,The Reeling,['Passion Pit'],alternative,5noQJkpVfHt2D4df2GXieV
69,Amsterdam,['Imagine Dragons'],alternative,46bkeaB7DA45q7PdKWLFkR
70,Dangerous (feat. Joywave),"['Big Data', 'Joywave']",alternative,2rPw8mIZPu987REVeDbrjt
71,Never Let Me Go,['Florence + The Machine'],alternative,6cC9RY7MoUx5z3aHjDTNI6
72,Is This It,['The Strokes'],alternative,0jBE7Fn78EAvmIs3dCd6GO
73,In My Place,['Coldplay'],alternative,2nvC4i2aMo4CzRjRflysah
74,Jump into the Fog,['The Wombats'],alternative,3l8dM1wjgFh98jpiq5ZCe7
75,Linger,['The Cranberries'],alternative,0gEyKnHvgkrkBM6fbeHdwK
76,House of Gold,['Twenty One Pilots'],alternative,36tghkPg1AO4HsAzo6YpPp
77,Trembling Hands,['The Temper Trap'],alternative,3cgGJxGri9IBNXvTKaYchA
78,Your Bones,['Of Monsters and Men'],alternative,4s9MBsOC7ntOehwpH0EJLL
79,Still into You,['Paramore'],alternative,1yjY7rpaAQvKwpdUliHx0d
80,Happiness,"['Jónsi', 'Alex Somers']",ambient,3BO3R8SLyb9cfSCgk1kXUl
81,"Analog Paralysis, 1978",['Tim Hecker'],ambient,3guEVTjNJHoR5D7GJRZMs5
82,Terrapin,['Bonobo'],ambient,6G1lPm5H051kZL5rJHvXEv
83,The Road to Nothingness,['Solar Fields'],ambient,79EPY6nX4DVmI4rnXgJl3N
84,Blade Runner Blues,['Vangelis'],ambient,575blCgesVtCu0HEYaIcas
85,re:stacks,['Bon Iver'],ambient,4dHEQ1W1jRmNjjB0S7vB8V
86,Chinese Radio,['Puff Dragon'],ambient,7uTs0S0Oh0Lc4Zz5m8lQfR
87,Hush,['Subheim'],ambient,6kUjLo3w52Jr3PizmsXJfL
88,The Day I Would Never Have,['Deaf Center'],ambient,4ndxvwmOqdQKG1ze16vn9j
89,MOS 6581,['Carbon Based Lifeforms'],ambient,4MYjbvSyqOGWXZBGRHVRtU
90,Death Of The Author,['Jenny Hval'],ambient,4mcDWFiTDWIPJmXytF38UQ
91,Rain Geometrics,['H.U.V.A. Network'],ambient,3md3vi2KPEjP6hk4Rs21oV
92,Paper Tiger,['Helios'],ambient,1tYiY1wABYqO4JQGijFPHr
93,Girl Nap,['Brian McBride'],ambient,542waU3uXCF7ZVyNDvePHk
94,Perimeters,['AES DANA'],ambient,2p53CiuN8dXmdDDnUr2hzu
95,Sky Trees,['Solar Fields'],ambient,5jDZmeig1f7c0Sz8xSiocb
96,Deep Like Airline Failure,['Proem'],ambient,4gzxtRQ0fX2xIkLdM7Gb1M
97,Lamp Mien,['Deaf Center'],ambient,4sDBBc26qdHckqRpMM6F13
98,Brutal Ardour (Variation On 'The Canon In D Major' By Johann Pachelbel) - Remastered 2004,['Brian Eno'],ambient,6Jwq0BneOY7cRW5SN3wWXX
99,The Things I Tell You,['Biosphere'],ambient,4gglp4mdtiFJk996t0II7s
100,IN MY WORLD,"[""ROOKiEZ is PUNK'D""]",anime,3kjsitsCuMB2RCDWSUtA10
101,ラピスラズリ,['Eir Aoi'],anime,3nxwiLbh3cyBFqEJ4HNxwA
102,CRAZY GONNA CRAZY,['Prizmmy☆'],anime,09sXqqsESgwKS8Xpww40gr
103,止まらない未来,['I-1 Club'],anime,1ATGnyf0zStMofgOFSWXkf
104,CLICK,['ClariS'],anime,5NvUh61ZyfYYOdadZy1LWj
105,in your eyes,['Kalafina'],anime,4tocDBnAMWmDmaj4OSnY8D
106,MEMORIA,['Eir Aoi'],anime,2upQ0vEO5JMgc4dCfgLCnH
107,アルシラの星 - カラオケ,"['Shinji Tanimura', 'Kalafina']",anime,2dfcq93i8gRSNryrk6UFAY
108,おジャ魔女カーニバル!!,"['茜屋 日海夏', '若井 友希', '久保田 未夢']",anime,1deyspHwRUXonRoBZ8eSCZ
109,わんわんわんわんN_1!! - マキシver.,['秋月マキシ(CV:芹澤優)'],anime,2uIb6LmotEsWnEEH71b1WE
110,お先にシルブプレ,['彩井高校 GA girls'],anime,4wmoLAk5r6aA9Y0nRuUBCp
111,愛・おぼえていますか,['Mari Iijima'],anime,7CXUYW2dprzyuyuL38a1nl
112,青い栞,['Galileo Galilei'],anime,4FSCHF1k9qmJTaChA6JqKB
113,Lightless,['Luna Haruna'],anime,6GzDHBrrGNJzqnszNWN5fu
114,sweet'n hot,['水戸郁魅(CV.石上静香)'],anime,6QW8xje2Cpqgns0gEqAX2L
115,輝く空の静寂には,['Kalafina'],anime,6FDzmybpUS0MpVWJfjDAgi
